template,sentence
adv_clause,"After the incident, a summer didn’t support any side."
complex,"Although it was late, a summer didn’t support any side."
simple,A line didn’t send any road.
rel_clause,The line that Alex saw didn’t send any road.
adv_clause,"After the incident, a line didn’t send any road."
complex,"Although it was late, a line didn’t send any road."
simple,A country didn’t represent any game.
rel_clause,The country that John saw didn’t represent any game.
adv_clause,"After the incident, a country didn’t represent any game."
complex,"Although it was late, a country didn’t represent any game."
simple,A university didn’t protect any mother.
rel_clause,The university that Alex saw didn’t protect any mother.
adv_clause,"After the incident, a university didn’t protect any mother."
complex,"Although it was late, a university didn’t protect any mother."
simple,A century didn’t place any music.
rel_clause,The century that John saw didn’t place any music.
adv_clause,"After the incident, a century didn’t place any music."
complex,"Although it was late, a century didn’t place any music."
simple,A word didn’t protect any power.
rel_clause,The word that Mary saw didn’t protect any power.
adv_clause,"After the incident, a word didn’t protect any power."
complex,"Although it was late, a word didn’t protect any power."
simple,A name didn’t include any career.
rel_clause,The name that Sarah saw didn’t include any career.
adv_clause,"After the incident, a name didn’t include any career."
complex,"Although it was late, a name didn’t include any career."
simple,A court didn’t build any country.
rel_clause,The court that John saw didn’t build any country.
adv_clause,"After the incident, a court didn’t build any country."
complex,"Although it was late, a court didn’t build any country."
simple,A name didn’t finish any division.
rel_clause,The name that Sarah saw didn’t finish any division.
adv_clause,"After the incident, a name didn’t finish any division."
complex,"Although it was late, a name didn’t finish any division."
simple,A fire didn’t join any rock.
rel_clause,The fire that Alex saw didn’t join any rock.
adv_clause,"After the incident, a fire didn’t join any rock."
complex,"Although it was late, a fire didn’t join any rock."
simple,A community didn’t shape any girl.
rel_clause,The community that John saw didn’t shape any girl.
adv_clause,"After the incident, a community didn’t shape any girl."
complex,"Although it was late, a community didn’t shape any girl."
simple,A place didn’t lose any head.
rel_clause,The place that Alex saw didn’t lose any head.
adv_clause,"After the incident, a place didn’t lose any head."
complex,"Although it was late, a place didn’t lose any head."
simple,A light didn’t gain any period.
rel_clause,The light that John saw didn’t gain any period.
adv_clause,"After the incident, a light didn’t gain any period."
complex,"Although it was late, a light didn’t gain any period."
simple,A life didn’t feature any eye.
rel_clause,The life that Alex saw didn’t feature any eye.
adv_clause,"After the incident, a life didn’t feature any eye."
complex,"Although it was late, a life didn’t feature any eye."
simple,A girl didn’t acquire any mind.
rel_clause,The girl that Sarah saw didn’t acquire any mind.
adv_clause,"After the incident, a girl didn’t acquire any mind."
complex,"Although it was late, a girl didn’t acquire any mind."
simple,A band didn’t support any area.
rel_clause,The band that John saw didn’t support any area.
adv_clause,"After the incident, a band didn’t support any area."
complex,"Although it was late, a band didn’t support any area."
simple,A form didn’t produce any place.
rel_clause,The form that David saw didn’t produce any place.
adv_clause,"After the incident, a form didn’t produce any place."
complex,"Although it was late, a form didn’t produce any place."
simple,A century didn’t reduce any road.
rel_clause,The century that Mary saw didn’t reduce any road.
adv_clause,"After the incident, a century didn’t reduce any road."
complex,"Although it was late, a century didn’t reduce any road."
simple,A part didn’t feature any mind.
rel_clause,The part that Alex saw didn’t feature any mind.
adv_clause,"After the incident, a part didn’t feature any mind."
complex,"Although it was late, a part didn’t feature any mind."
simple,A project didn’t open any record.
rel_clause,The project that Mary saw didn’t open any record.
adv_clause,"After the incident, a project didn’t open any record."
complex,"Although it was late, a project didn’t open any record."
simple,A project didn’t carry any air.
rel_clause,The project that Sarah saw didn’t carry any air.
adv_clause,"After the incident, a project didn’t carry any air."
complex,"Although it was late, a project didn’t carry any air."
simple,A hair didn’t teach any use.
rel_clause,The hair that David saw didn’t teach any use.
adv_clause,"After the incident, a hair didn’t teach any use."
complex,"Although it was late, a hair didn’t teach any use."
simple,A version didn’t avoid any place.
rel_clause,The version that Mary saw didn’t avoid any place.
adv_clause,"After the incident, a version didn’t avoid any place."
complex,"Although it was late, a version didn’t avoid any place."
simple,A room didn’t invite any woman.
rel_clause,The room that John saw didn’t invite any woman.
adv_clause,"After the incident, a room didn’t invite any woman."
complex,"Although it was late, a room didn’t invite any woman."
simple,A court didn’t finish any university.
rel_clause,The court that Mary saw didn’t finish any university.
adv_clause,"After the incident, a court didn’t finish any university."
